run,correctify,thr,precision,recall
new_baseline_failsafe,True,0.0,1.0,1.0196174395366858e-05
new_baseline_failsafe,True,0.05,0.34188844495609577,0.30886251478445287
new_baseline_failsafe,True,0.1,0.4154590495685143,0.3642277417512949
new_baseline_failsafe,True,0.15,0.46603939026035346,0.42270280190872384
new_baseline_failsafe,True,0.2,0.5219413050842239,0.5184448794812186
new_baseline_failsafe,True,0.25,0.5854872545915136,0.6032770504506709
new_baseline_failsafe,True,0.3,0.6324145446547295,0.644969207553326
new_baseline_failsafe,True,0.35,0.706696433529928,0.6487417920796117
new_baseline_failsafe,True,0.4,0.7604180690009669,0.633518903707329
new_baseline_failsafe,True,0.45,0.8093376138733399,0.6014825237570863
new_baseline_failsafe,True,0.5,0.8466460554043037,0.561228027244178
new_baseline_failsafe,True,0.55,0.8750086224736152,0.5173538888209144
new_baseline_failsafe,True,0.6,0.8970662817461865,0.46891186426852643
new_baseline_failsafe,True,0.65,0.9144441928911026,0.41183368000326276
new_baseline_failsafe,True,0.7,0.9310196718494975,0.331518414290958
new_baseline_failsafe,True,0.75,0.9419418138384097,0.2251417268240956
new_baseline_failsafe,True,0.8,0.9502296140002482,0.07806191117092867
new_baseline_failsafe,True,0.85,0.9212962962962963,0.006087116114034014
new_baseline_failsafe,True,0.9,0.0,0.0
new_baseline_failsafe,True,0.95,0.0,0.0
new_baseline_failsafe,True,1.0,0.0,0.0
new_baseline_failsafe,False,0.0,0.0,0.0
new_baseline_failsafe,False,0.05,0.2050973253045792,0.3733329254863575
new_baseline_failsafe,False,0.1,0.26739290969755447,0.5058016232309638
new_baseline_failsafe,False,0.15,0.30441988193559877,0.6798605163342714
new_baseline_failsafe,False,0.2,0.4027326484893742,0.8138586402381827
new_baseline_failsafe,False,0.25,0.45375286424858885,0.8278273991598353
new_baseline_failsafe,False,0.3,0.4472641028085068,0.8133488315184143
new_baseline_failsafe,False,0.35,0.4879714162195153,0.7825971695419879
new_baseline_failsafe,False,0.4,0.5334826640205463,0.7455136832660386
new_baseline_failsafe,False,0.45,0.5768830931213147,0.7072576369346222
new_baseline_failsafe,False,0.5,0.6170273133086177,0.6652188099025246
new_baseline_failsafe,False,0.55,0.6604641075688571,0.6210285900730046
new_baseline_failsafe,False,0.6,0.6951356142964431,0.5756862025368082
new_baseline_failsafe,False,0.65,0.7202803083391731,0.5240017945266936
new_baseline_failsafe,False,0.7,0.730309475523899,0.4516293486683796
new_baseline_failsafe,False,0.75,0.7176406790973178,0.35082996859578286
new_baseline_failsafe,False,0.8,0.6872768276639729,0.186437048819283
new_baseline_failsafe,False,0.85,0.5441199196414773,0.03590073004608671
new_baseline_failsafe,False,0.9,0.0,0.0
new_baseline_failsafe,False,0.95,0.0,0.0
new_baseline_failsafe,False,1.0,0.0,0.0
new_baseline_BN,True,0.0,1.0,9.878396933745591e-06
new_baseline_BN,True,0.05,0.5294388224471022,0.3411010461222353
new_baseline_BN,True,0.1,0.6635878170697631,0.4222718337268228
new_baseline_BN,True,0.15,0.7521993905773888,0.47551639319971156
new_baseline_BN,True,0.2,0.8102563304921296,0.5145953314696091
new_baseline_BN,True,0.25,0.8504571517123818,0.542126423723958
new_baseline_BN,True,0.3,0.8763175738149541,0.5617449200343768
