run,correctify,thr,precision,recall,f1
attention_none,True,0.05,0.5002980706698461,0.3173318208380599,0.3883431840649517
attention_none,True,0.1,0.6493663246831624,0.40686122855866075,0.5002747368865971
attention_none,True,0.15,0.7478384957609334,0.4593688769722595,0.569137892484109
attention_none,True,0.2,0.8023327194597912,0.49420783060052936,0.611657094235269
attention_none,True,0.25,0.8390104872852043,0.5211405589357533,0.6429321147994613
attention_none,True,0.3,0.8656327164775407,0.5362483242239868,0.6622446272220749
attention_none,True,0.35,0.8828373099513813,0.5399264377298821,0.6700581240334881
attention_none,True,0.4,0.8969045423103528,0.5348561410745591,0.670104868752557
attention_none,True,0.45,0.907654084473314,0.5211577463820426,0.6621319154046883
attention_none,True,0.5,0.918052293721622,0.5039015503076553,0.6506652462909328
attention_none,True,0.55,0.9262060234541578,0.4778281942868928,0.6304224585591509
attention_none,True,0.6,0.9331909038238703,0.4429376783197552,0.600736613907084
attention_none,True,0.65,0.941375286685712,0.4021174933828332,0.563521406635756
attention_none,True,0.7,0.9481715827672839,0.35028015537451446,0.5115718660575329
attention_none,True,0.75,0.9539541252995549,0.2873569145096422,0.4416706292597877
attention_none,True,0.8,0.9618849618849619,0.2147055790450655,0.3510517219575939
attention_none,True,0.85,0.9716186854970125,0.12297617819944312,0.21831995850242578
attention_none,True,0.9,0.9867708959711365,0.028204599360626997,0.054841674325340456
attention_none,True,0.95,0.0,0.0,
attention_none,False,0.05,0.2985012065117649,0.4528720222749304,0.35982875052064484
attention_none,False,0.1,0.4516434348649114,0.6315183390051906,0.5266454535030386
attention_none,False,0.15,0.5729208288144301,0.6900415936200199,0.6260506167256623
attention_none,False,0.2,0.6471316549731737,0.7006978103193428,0.6728503053309127
attention_none,False,0.25,0.6902638169405468,0.6916400261249184,0.6909512362637362
attention_none,False,0.3,0.7214167433302668,0.6739025815544326,0.69685067358618
attention_none,False,0.35,0.7520393783617491,0.6512323398989378,0.6980150140468844
attention_none,False,0.4,0.7801749145840944,0.6240246124230862,0.6934176223989915
attention_none,False,0.45,0.801481789225869,0.5968340723935238,0.6841825274855184
attention_none,False,0.5,0.8089641045649629,0.5701763431989275,0.6688980744026616
attention_none,False,0.55,0.8382348998686362,0.5373998831253652,0.6549228658504656
attention_none,False,0.6,0.8666586833517947,0.4975593826269293,0.6321777583665448
attention_none,False,0.65,0.8849331431036199,0.45840637998006256,0.6039560240486408
attention_none,False,0.7,0.8961290562944749,0.4134096455948575,0.5657998423955871
attention_none,False,0.75,0.9067634530122577,0.3585473170396343,0.5138936788687983
attention_none,False,0.8,0.9143223874211146,0.293836581760682,0.44474505723204993
attention_none,False,0.85,0.9277154415693458,0.20889622219930562,0.3410069722093627
attention_none,False,0.9,0.9538851351351352,0.09705750919528376,0.17618795045396402
attention_none,False,0.95,0.9180887372013652,0.004623423051802963,0.00920051303976058
denoising_lowpass,True,0.05,0.5048546329788681,0.3023240663832837,0.3781807069369461
denoising_lowpass,True,0.1,0.6326053889613211,0.3793097832282862,0.4742559841982548
denoising_lowpass,True,0.15,0.7340012043575848,0.43673555805280045,0.5476285291264614
denoising_lowpass,True,0.2,0.7983614509782785,0.48246771225224344,0.6014597947353996
denoising_lowpass,True,0.25,0.8350544741054371,0.5267829514177294,0.6460278623857793
denoising_lowpass,True,0.3,0.8624898703403565,0.5546815198449536,0.6751578467424595
denoising_lowpass,True,0.35,0.878287153652393,0.5678734874024853,0.6897656798646897
denoising_lowpass,True,0.4,0.8906535881276683,0.570821322128304,0.6957410697448215
denoising_lowpass,True,0.45,0.9020451818229248,0.5631667236689957,0.6934175565247906
denoising_lowpass,True,0.5,0.9093230818861229,0.5508867933747007,0.6861124352173956
denoising_lowpass,True,0.55,0.9179223289930062,0.5258383413950913,0.6686409526274916
denoising_lowpass,True,0.6,0.9246281902197196,0.49209296265533137,0.6423325077860096
denoising_lowpass,True,0.65,0.9304094351001809,0.45225647790752593,0.6086556270343135
denoising_lowpass,True,0.7,0.9358974358974359,0.40185013273399456,0.562274255113086
denoising_lowpass,True,0.75,0.9397931654676259,0.3404016221234182,0.49977881660907925
denoising_lowpass,True,0.8,0.946530612244898,0.2643768016807544,0.4133110972489211
denoising_lowpass,True,0.85,0.9598981540420115,0.17191902412012833,0.29161026547694685
denoising_lowpass,True,0.9,0.9759215219976218,0.053468184557254765,0.10138191924650661
denoising_lowpass,True,0.95,0.0,0.0,
denoising_lowpass,False,0.05,0.2566175075078428,0.37435872379928664,0.30450276206499133
denoising_lowpass,False,0.1,0.4927792253676633,0.5451702740997704,0.5176525168174437
denoising_lowpass,False,0.15,0.6233308605341247,0.6568622660868716,0.6396574283335317
denoising_lowpass,False,0.2,0.6980105840846726,0.6959984365075488,0.6970030581039756
denoising_lowpass,False,0.25,0.7389500423370026,0.7106561782381394,0.724526986077326
denoising_lowpass,False,0.3,0.7840665138449223,0.7018941059591863,0.7407082764013854
denoising_lowpass,False,0.35,0.8138741323820233,0.6836696470741519,0.7431115517042991
denoising_lowpass,False,0.4,0.828556263269639,0.6609990065308382,0.7353535353535354
denoising_lowpass,False,0.45,0.8446875338459873,0.635087376427094,0.7250432292731903
denoising_lowpass,False,0.5,0.8544313868115382,0.6121887265679712,0.7133043626771922
denoising_lowpass,False,0.55,0.8688055208868659,0.5781990521327014,0.6943205820229992
denoising_lowpass,False,0.6,0.880168129427937,0.5422550121333529,0.6710739803887976
denoising_lowpass,False,0.65,0.8893527582632731,0.5030699825735737,0.642630522297234
denoising_lowpass,False,0.7,0.8923788113858722,0.4590153254832983,0.6062118213886261
