run,correctify,thr,precision,recall,f1
attention_none,True,0.05,0.4916739882488606,0.31423996490458433,0.3834245981404461
attention_none,True,0.1,0.6426859214218896,0.38578635665716166,0.48215098332702827
attention_none,True,0.15,0.7434593130254266,0.44304891423557796,0.5552238641861282
attention_none,True,0.2,0.8045422097276294,0.4795876288659794,0.6009493418647668
attention_none,True,0.25,0.8450566313481914,0.5073305549462601,0.6340241228070175
attention_none,True,0.3,0.8712627301605763,0.5258039043649924,0.6558217538445544
attention_none,True,0.35,0.8908405512244134,0.5328668567668349,0.666849665523839
attention_none,True,0.4,0.9035410754377255,0.5349462601447685,0.6720197074197664
attention_none,True,0.45,0.9142746462291023,0.528041237113402,0.6694438033053116
attention_none,True,0.5,0.922705465985057,0.5146830445273086,0.6607828780625176
attention_none,True,0.55,0.9296089662116436,0.4941302917306427,0.6452697670688253
attention_none,True,0.6,0.9353964909795868,0.46355779776266726,0.6199063698975702
attention_none,True,0.65,0.9409350168186028,0.4233691599034876,0.5839795470704809
attention_none,True,0.7,0.9467248908296944,0.3709234481245887,0.5330139317909601
attention_none,True,0.75,0.9532060494080613,0.30553191489361703,0.4627410594156438
attention_none,True,0.8,0.960160845930449,0.2262601447685896,0.3662209851384264
attention_none,True,0.85,0.9651174089068826,0.13072164948453607,0.2302559644547474
attention_none,True,0.9,0.9748188620976364,0.036003509541566135,0.06944227034848056
attention_none,True,0.95,1.0,0.0003948234261899539,0.000789335204350114
attention_none,False,0.05,0.27379723190516114,0.408317613511735,0.3277929899013022
attention_none,False,0.1,0.4391858882078206,0.5915551656064927,0.5041085340870007
attention_none,False,0.15,0.5613658557915142,0.6758455801710902,0.6133092880772951
attention_none,False,0.2,0.6477286463747793,0.7052072822987497,0.6752469924054035
attention_none,False,0.25,0.7108731906999973,0.6993595086641807,0.7050693486183349
attention_none,False,0.3,0.7555090973471932,0.6832858082912919,0.7175847540594643
attention_none,False,0.35,0.7888503058087935,0.6597411713094977,0.7185421603852916
attention_none,False,0.4,0.8099727599526648,0.6365650361921474,0.7128750325474457
attention_none,False,0.45,0.8256969682550068,0.6089800394823426,0.700970280581007
attention_none,False,0.5,0.8396808308530176,0.5816801930247861,0.6872648110713729
attention_none,False,0.55,0.8638677194816629,0.5509804781750384,0.6728273039444149
attention_none,False,0.6,0.8802843779232928,0.5160254441763544,0.6506423287008227
attention_none,False,0.65,0.8902735388215657,0.47731081377495066,0.621442014147697
attention_none,False,0.7,0.8971938798729373,0.4324281640710682,0.5835822353522766
attention_none,False,0.75,0.9009340917392893,0.37869269576661546,0.5332447917471005
attention_none,False,0.8,0.899668958492488,0.3099802588286905,0.4610917158798003
attention_none,False,0.85,0.9081399737594134,0.22166264531695548,0.3563466848149964
attention_none,False,0.9,0.9195045266866169,0.10648826497038824,0.19087159768664316
attention_none,False,0.95,0.9302532207907597,0.009186225049352929,0.01819279672981438
attention_gates,True,0.05,0.4339936930980113,0.2994604079842071,0.354388715547272
attention_gates,True,0.1,0.578792659853747,0.38784821232726474,0.46446142490524006
attention_gates,True,0.15,0.6918199917157708,0.4542794472472033,0.5484333954749597
attention_gates,True,0.2,0.7660741849163178,0.4985917964465892,0.6040461429304108
attention_gates,True,0.25,0.8167330134147671,0.5256328142136434,0.6396194889151057
attention_gates,True,0.3,0.8506609453941449,0.5392059662206624,0.6600365159488777
attention_gates,True,0.35,0.8719732132871043,0.5472296556262338,0.6724473458650265
attention_gates,True,0.4,0.8886640833893361,0.5452994077648607,0.6758721562486407
attention_gates,True,0.45,0.9009855906934386,0.5381881991664839,0.6738585929604076
attention_gates,True,0.5,0.911036412861619,0.5255275279666594,0.6665553830659744
attention_gates,True,0.55,0.9198604871698022,0.5021320465014257,0.6496397385798974
attention_gates,True,0.6,0.9280587417448731,0.468528186005703,0.6226918928373613
attention_gates,True,0.65,0.9344550817135674,0.42391752577319586,0.5832448092708836
attention_gates,True,0.7,0.9423287395858927,0.37016012283395483,0.5315283534703237
attention_gates,True,0.75,0.9494536817102138,0.3068699276157052,0.4638276004973062
attention_gates,True,0.8,0.9553916654732922,0.23413906558455802,0.3761054775310591
attention_gates,True,0.85,0.9639273571606269,0.15298091686773416,0.2640547918236303
attention_gates,True,0.9,0.9730658623833907,0.06085983768370257,0.11455490551470437
attention_gates,True,0.95,0.9929577464788732,0.0012371134020618556,0.0024711480322826573
attention_gates,False,0.05,0.22608502677369782,0.41563939460407984,0.2928666590419432
attention_gates,False,0.1,0.40078905388181885,0.6359508664180742,0.4916992990745342
attention_gates,False,0.15,0.5285012489060095,0.725860934415442,0.6116549358253978
attention_gates,False,0.2,0.6029304702464676,0.7484272866856767,0.6678462658639129
attention_gates,False,0.25,0.6639728129622213,0.734547049791621,0.6974792191265264
attention_gates,False,0.3,0.7096728807597609,0.7080851063829787,0.7088781044818728
attention_gates,False,0.35,0.725847919441831,0.6836630840096513,0.7041242330318173
attention_gates,False,0.4,0.7608517650430386,0.6522263654310155,0.702363967913529
attention_gates,False,0.45,0.8092970405011106,0.6217723184908971,0.7032482305045389
attention_gates,False,0.5,0.8332624310243842,0.5928975652555385,0.6928244626997655
attention_gates,False,0.55,0.8515642186239676,0.5604035972801052,0.6759639222036136
attention_gates,False,0.6,0.8653794718694203,0.525176573810046,0.65366229213704
attention_gates,False,0.65,0.8761738111450696,0.48545295020837903,0.6247544093403491
attention_gates,False,0.7,0.8861072150033962,0.44066681289756526,0.5886127314970804
attention_gates,False,0.75,0.8935837086590958,0.38557578416319366,0.5387041117468412
