run,correctify,thr,precision,recall,f1
testagain_baseline_1,True,0.05,0.5415434423933008,0.3512959541190844,0.4261505955844076
testagain_baseline_1,True,0.1,0.6813615890606267,0.42463070103696526,0.5231990345917231
testagain_baseline_1,True,0.15,0.7741364334870048,0.4679570674178859,0.5833097346246547
testagain_baseline_1,True,0.2,0.8290072158954892,0.48952432879976576,0.6155623694618495
testagain_baseline_1,True,0.25,0.8611845445473485,0.4966730277971304,0.6300029457344484
testagain_baseline_1,True,0.3,0.885068375456433,0.49926796514504385,0.6384088517626706
testagain_baseline_1,True,0.35,0.901787190272395,0.495723906743808,0.6397623174052983
testagain_baseline_1,True,0.4,0.9172573218959555,0.4847787235331536,0.6343158367573423
testagain_baseline_1,True,0.45,0.9276117301580916,0.46566504104443707,0.6200582157478304
testagain_baseline_1,True,0.5,0.9343655408201041,0.43323337271176,0.5919839955849889
testagain_baseline_1,True,0.55,0.9414540202214733,0.3948747463120589,0.5563846662730565
testagain_baseline_1,True,0.6,0.9462475738624111,0.354426034188552,0.5156939802402027
testagain_baseline_1,True,0.65,0.9546986610594019,0.311735780854007,0.4700025879523208
testagain_baseline_1,True,0.7,0.9589587757194112,0.2644715718050465,0.4146003656422879
testagain_baseline_1,True,0.75,0.9650330521996808,0.21373398358222517,0.3499594954287698
testagain_baseline_1,True,0.8,0.9723092998955067,0.15032461959430124,0.26039125149758197
testagain_baseline_1,True,0.85,0.9781570953276436,0.06827613364432193,0.12764270613107823
testagain_baseline_1,True,0.9,0.996031746031746,0.005068710306041054,0.010086093447053033
testagain_baseline_1,True,0.95,0.0,0.0,
testagain_baseline_1,False,0.05,0.03753894445875987,0.06472197821060391,0.047517559628606904
testagain_baseline_1,False,0.1,0.4417819799630025,0.6727652742858874,0.5333386696550068
testagain_baseline_1,False,0.15,0.5569463625695514,0.7044396651824029,0.6220698510071063
testagain_baseline_1,False,0.2,0.6231344641817123,0.6913942992154606,0.6554921096842438
testagain_baseline_1,False,0.25,0.681134337694834,0.65964922909157,0.6702196415564697
testagain_baseline_1,False,0.3,0.7314894368269287,0.6275406657983219,0.6755396621812569
testagain_baseline_1,False,0.35,0.7675738289537047,0.5954724906350024,0.6706582059679767
testagain_baseline_1,False,0.4,0.7985421189596423,0.5607992810912873,0.6588806111796527
testagain_baseline_1,False,0.45,0.8248489258708513,0.5264794676844475,0.6427246337509938
testagain_baseline_1,False,0.5,0.8450044254698807,0.4916245115560537,0.6216009191880506
testagain_baseline_1,False,0.55,0.8570912478846995,0.4551439331980331,0.5945578769652844
testagain_baseline_1,False,0.6,0.8588733095494897,0.4180979210210119,0.5624138375970281
testagain_baseline_1,False,0.65,0.8632212583827333,0.38080958006441906,0.5284803475092833
testagain_baseline_1,False,0.7,0.8755104695018858,0.3398560163168045,0.48964243111925754
testagain_baseline_1,False,0.75,0.8935209204382458,0.29562091701249005,0.44425898669256336
testagain_baseline_1,False,0.8,0.9101119288561791,0.23973384222377042,0.3795024255356558
testagain_baseline_1,False,0.85,0.9179319297849523,0.1642080392572623,0.27858097228407963
testagain_baseline_1,False,0.9,0.9063097514340345,0.05743192075848908,0.10801880074063525
