run,correctify,thr,precision,recall,f1
final_default,True,0.05,0.34989749457274866,0.42781597689454853,0.3849534409405945
final_default,True,0.1,0.5219869943832033,0.662250976402245,0.5838123843812782
final_default,True,0.15,0.6158034397340805,0.7159530998720011,0.6621125836106126
final_default,True,0.2,0.671575789604576,0.7090239259575306,0.689791975988633
final_default,True,0.25,0.7093536800493082,0.6846261774262365,0.6967706108678997
final_default,True,0.3,0.7379903600009224,0.6564048705241393,0.6948108486028874
final_default,True,0.35,0.7619033317315393,0.6244461583904952,0.6863602748868166
final_default,True,0.4,0.7805694689355994,0.5920238603170436,0.6733469271579419
final_default,True,0.45,0.7944322998509791,0.5620753880993797,0.6583535754701342
final_default,True,0.5,0.8046770352731061,0.5323402474646362,0.6407725279500651
final_default,True,0.55,0.8157942781410382,0.49495799008828645,0.6161101621127512
final_default,True,0.6,0.8260291172162267,0.4534362794971939,0.5854813590566698
final_default,True,0.65,0.8348866264836482,0.4057361580622928,0.5460865243919273
final_default,True,0.7,0.8437444437859302,0.3504340477206341,0.4951969622307893
final_default,True,0.75,0.8526542816528602,0.28545406806918505,0.4277161017470094
final_default,True,0.8,0.8635796064086104,0.20145065476385834,0.3266924584099823
final_default,True,0.85,0.8765989725200841,0.10430273392628574,0.18642371358911847
final_default,True,0.9,0.8873563218390804,0.02058649775181332,0.040239447970586234
final_default,True,0.95,1.0,1.6410121763103483e-05,3.28197049508525e-05
final_default,False,0.05,0.27608918130343685,0.49029751550756506,0.3532572791643205
final_default,False,0.1,0.44295886965678705,0.7109890380386622,0.5458459580847753
final_default,False,0.15,0.5335004793156847,0.7420246808231317,0.6207177016251498
final_default,False,0.2,0.5909392338837329,0.7275099281236667,0.6521512879778315
final_default,False,0.25,0.64050125727774,0.699095802290853,0.6685170546269833
final_default,False,0.3,0.6694370986021911,0.6688109225770456,0.6691238640934501
final_default,False,0.35,0.7015283961342166,0.6360932423118579,0.6672103070779399
final_default,False,0.4,0.7296933915459417,0.6033878696379927,0.660557092555332
final_default,False,0.45,0.7454122678070293,0.5720896649053135,0.6473503285541528
final_default,False,0.5,0.7548244136174392,0.542227345826906,0.6311027071679427
final_default,False,0.55,0.7763874873864783,0.5050379073812727,0.6119827397641632
final_default,False,0.6,0.7925727762328839,0.4618669795529883,0.5836281775130444
final_default,False,0.65,0.8031137209283796,0.4135268633693262,0.5459444674633931
final_default,False,0.7,0.8078975552108723,0.35899192622009257,0.49709711870568996
final_default,False,0.75,0.8023514920777112,0.29396271620335424,0.43028070270254043
final_default,False,0.8,0.8132407158341113,0.21085365453411664,0.33488081159533606
final_default,False,0.85,0.7875836537092411,0.11345958187009747,0.19834544782996913
final_default,False,0.9,0.6628259551243177,0.026904394630608158,0.05170986335286186
final_default,False,0.95,0.8095238095238095,6.97430174931898e-05,0.00013947401886180995
final_no_spo2,True,0.05,0.18938708716815514,0.279177196494798,0.22567898532340414
final_no_spo2,True,0.1,0.34164621792115024,0.609459614690341,0.4378473250719518
final_no_spo2,True,0.15,0.4278089190444478,0.714197216843349,0.5350933409561397
final_no_spo2,True,0.2,0.4860227497169499,0.7167695034297155,0.5792626017648356
final_no_spo2,True,0.25,0.5357708523880697,0.6897133151727985,0.6030731372221954
final_no_spo2,True,0.3,0.5767836466145072,0.6559946174800617,0.6138443200205765
final_no_spo2,True,0.35,0.6129726918498113,0.6189200498867702,0.6159320144773398
final_no_spo2,True,0.4,0.6459042494784232,0.5791706324460928,0.6107198477245199
final_no_spo2,True,0.45,0.6772069464544139,0.5375381535330992,0.5993431404837707
final_no_spo2,True,0.5,0.7042053949409309,0.49545029374117955,0.5816648444536492
final_no_spo2,True,0.55,0.7300838887231009,0.4516598838163379,0.5580729292074202
final_no_spo2,True,0.6,0.7566360113188977,0.4036848928419049,0.5264794007490636
final_no_spo2,True,0.65,0.7811870948678646,0.34707817782007944,0.4806192302229797
final_no_spo2,True,0.7,0.8063348098150882,0.2822992221602284,0.418189553009815
final_no_spo2,True,0.75,0.8305484350770594,0.21533772030588466,0.34200358364554484
final_no_spo2,True,0.8,0.8509790583547933,0.1437034362794972,0.2458847231094295
final_no_spo2,True,0.85,0.8683869774324824,0.0770373166168893,0.1415199565898951
final_no_spo2,True,0.9,0.8946310651737008,0.025566969706915226,0.04971322362175831
final_no_spo2,True,0.95,0.8878787878787879,0.0012020414191473302,0.0024008325071082667
final_no_spo2,False,0.05,0.1312859358586269,0.3378844071023007,0.189097504835923
final_no_spo2,False,0.1,0.26328675909949817,0.6842364370343628,0.3802553746433339
final_no_spo2,False,0.15,0.336000367444424,0.750291279661295,0.464144498078807
final_no_spo2,False,0.2,0.3854000487577467,0.7393580360366274,0.5066842852524003
final_no_spo2,False,0.25,0.44409561350104737,0.7062547179100069,0.5453027893746555
final_no_spo2,False,0.3,0.4947431624722147,0.669315533821261,0.568939152207535
final_no_spo2,False,0.35,0.5382978054125468,0.631847123305655,0.581332981042341
final_no_spo2,False,0.4,0.5810832633550804,0.5904854114017526,0.5857466100177435
final_no_spo2,False,0.45,0.6092132670315997,0.5483524237749844,0.5771829179558374
final_no_spo2,False,0.5,0.6364049117738108,0.5060389248088221,0.5637837887250555
final_no_spo2,False,0.55,0.6650511832431026,0.46163313531786404,0.5449790288365605
final_no_spo2,False,0.6,0.690849377434041,0.41336686468213596,0.5172433264887063
final_no_spo2,False,0.65,0.7065510409561857,0.3569857888345532,0.4743205381185475
final_no_spo2,False,0.7,0.7231678655366427,0.29159965866946735,0.41561342420016434
