run,correctify,thr,precision,recall
new_baseline_BN,True,0.0,1.0,9.878396933745591e-06
new_baseline_BN,True,0.05,0.5294388224471022,0.3411010461222353
new_baseline_BN,True,0.1,0.6635878170697631,0.4222718337268228
new_baseline_BN,True,0.15,0.7521993905773888,0.47551639319971156
new_baseline_BN,True,0.2,0.8102563304921296,0.5145953314696091
new_baseline_BN,True,0.25,0.8504571517123818,0.542126423723958
new_baseline_BN,True,0.3,0.8763175738149541,0.5617449200343768
new_baseline_BN,True,0.35,0.8948833756109633,0.5715245329987849
new_baseline_BN,True,0.4,0.907726436022089,0.5699439894893856
new_baseline_BN,True,0.45,0.9174601132269686,0.5635032746885835
new_baseline_BN,True,0.5,0.9302670111972438,0.5334531912161294
new_baseline_BN,True,0.55,0.9369438087973557,0.509626497811935
new_baseline_BN,True,0.6,0.9449749530369442,0.4770475447244421
new_baseline_BN,True,0.65,0.9509113369887953,0.4334245438650216
new_baseline_BN,True,0.7,0.960594089113367,0.37950825340063815
new_baseline_BN,True,0.75,0.9688747980367649,0.3139552113483024
new_baseline_BN,True,0.8,0.9771383027811569,0.2301073781746698
new_baseline_BN,True,0.85,0.9846765875939296,0.13203465341644358
new_baseline_BN,True,0.9,0.9884137931034482,0.035394296213610454
new_baseline_BN,True,0.95,1.0,2.9635190801236776e-05
new_baseline_BN,True,1.0,0.0,0.0
new_baseline_BN,False,0.0,1.0,1.9756793867491183e-05
new_baseline_BN,False,0.05,0.32881911228655925,0.5195147731426144
new_baseline_BN,False,0.1,0.5080718382532055,0.6799201825527753
new_baseline_BN,False,0.15,0.6055441832934619,0.7276328397427665
new_baseline_BN,False,0.2,0.6719067808101535,0.7342316088945086
new_baseline_BN,False,0.25,0.7162784345858207,0.7253706868449388
new_baseline_BN,False,0.3,0.7503740204848143,0.708508263279035
new_baseline_BN,False,0.35,0.7761866021776198,0.688010589641513
new_baseline_BN,False,0.4,0.7971077846433762,0.6664756843259476
new_baseline_BN,False,0.45,0.8129421011265392,0.643705979393664
new_baseline_BN,False,0.5,0.8232438030423262,0.6046467979176339
new_baseline_BN,False,0.55,0.8482145459845504,0.5748831879562585
new_baseline_BN,False,0.6,0.8706086568780457,0.5400420819709377
new_baseline_BN,False,0.65,0.8844699939029701,0.501555847517065
new_baseline_BN,False,0.7,0.8987788701622972,0.45514713872232815
new_baseline_BN,False,0.75,0.9145432366494985,0.39992689986269025
new_baseline_BN,False,0.8,0.9301168863466799,0.33250684078987663
new_baseline_BN,False,0.85,0.9530411624172639,0.24038091098576522
new_baseline_BN,False,0.9,0.9662058371735791,0.11184321008386759
new_baseline_BN,False,0.95,0.975,0.0030820598433286247
new_baseline_BN,False,1.0,0.0,0.0
attention_none,True,0.0,1.0,1.0751994494978819e-05
attention_none,True,0.05,0.5530643003505444,0.35114938821151326
attention_none,True,0.1,0.6639258319077314,0.3880717373072705
attention_none,True,0.15,0.7535363654578241,0.4043717609616584
attention_none,True,0.2,0.8127797696077391,0.4119304130916285
attention_none,True,0.25,0.8528961078761875,0.41891920951336475
attention_none,True,0.3,0.8826881552879371,0.4263488377093951
attention_none,True,0.35,0.903267739477341,0.43332688213663634
attention_none,True,0.4,0.9150745520040126,0.43155280304496485
attention_none,True,0.45,0.9247585868269074,0.42525213427090724
attention_none,True,0.5,0.9327635465594887,0.41422058791905897
attention_none,True,0.55,0.9403369570817662,0.3924693030557168
attention_none,True,0.6,0.9475723284464017,0.3655355568457949
attention_none,True,0.65,0.9525825052140842,0.3339354450250521
attention_none,True,0.7,0.9596765725086632,0.29478743306883426
attention_none,True,0.75,0.9649196424824809,0.24724211341203794
attention_none,True,0.8,0.9681913033669843,0.18457948949530137
attention_none,True,0.85,0.9783765801729873,0.09486484742919811
attention_none,True,0.9,0.9871534820824882,0.015697911962669075
attention_none,True,0.95,1.0,1.0751994494978819e-05
attention_none,True,1.0,0.0,0.0
attention_none,False,0.0,0.0,0.0
attention_none,False,0.05,0.3203114359649521,0.4551641829559383
attention_none,False,0.1,0.433319974539711,0.592897232436617
attention_none,False,0.15,0.5383367628793356,0.6244650882738748
attention_none,False,0.2,0.6253058179464394,0.6128206782358128
attention_none,False,0.25,0.6765346961394003,0.5906930735651463
attention_none,False,0.3,0.7372720498291692,0.5638023353332043
attention_none,False,0.35,0.7687134234151424,0.5395028277745522
attention_none,False,0.4,0.8020843771921035,0.5163537836268628
attention_none,False,0.45,0.8430798142825559,0.49200051609573575
attention_none,False,0.5,0.8381467418402179,0.46992667139754424
attention_none,False,0.55,0.8263059288059792,0.4410145582005462
attention_none,False,0.6,0.8459226519337016,0.4115648452787992
attention_none,False,0.65,0.8638834052301918,0.3811151968690192
attention_none,False,0.7,0.8811654299432562,0.34728942218781583
attention_none,False,0.75,0.9086978636826043,0.30733501064447455
attention_none,False,0.8,0.9209010971908801,0.25448895770165364
attention_none,False,0.85,0.8865738161559888,0.1711072403930929
attention_none,False,0.9,0.8284459555177788,0.06287766380663613
attention_none,False,0.95,0.7908309455587392,0.0029675504806141537
attention_none,False,1.0,0.0,0.0
attention_gates,True,0.0,1.0,9.602734858887812e-06
attention_gates,True,0.05,0.44532032769493723,0.29022345564016633
attention_gates,True,0.1,0.5366335038466186,0.3838117095748869
attention_gates,True,0.15,0.629888794953502,0.4650508464810778
attention_gates,True,0.2,0.7115856203694042,0.5238579947569068
attention_gates,True,0.25,0.7798826040554963,0.5613758798505815
attention_gates,True,0.3,0.826952796681398,0.5857764291270153
attention_gates,True,0.35,0.8611249515584344,0.5974629574502819
