thr,cor_size,precision,recall,f1
0.1,1,0.4135495394855504,0.5831993173389347,0.4839369665939289
0.1,2,0.49010972170023026,0.5510436837441334,0.5187936092265681
0.1,3,0.5098606038373817,0.5245946699924513,0.5171227059860721
0.1,4,0.5180472804151451,0.4976082247530277,0.5076220947629879
0.1,5,0.5241317997961283,0.4619654402835669,0.4910890484590912
0.1,6,0.5259939142021838,0.43400669532967934,0.4755931990037673
0.1,7,0.5265990037028158,0.40549410876628705,0.45817910427004943
0.1,8,0.5299446686924577,0.3834963405428468,0.4449807684984196
0.1,9,0.5364678619343822,0.36089960287505335,0.4315089323379082
0.1,10,0.5428180433930625,0.34661459188027177,0.423075671195972
0.2,1,0.5716143005381404,0.7774172109357051,0.6588175168270568
0.2,2,0.6684308739919465,0.7538768912665332,0.7085872715038474
0.2,3,0.6862098667561057,0.7386400932094916,0.7114603420478615
0.2,4,0.6965794222385462,0.7158177163674554,0.7060675466781051
0.2,5,0.7013061425924609,0.6879246119006203,0.6945509295789816
0.2,6,0.7037971641432348,0.6487700613738554,0.6751642665323218
0.2,7,0.7027315762234642,0.6071868128261512,0.6514747019453608
0.2,8,0.7046781687159899,0.5668630411237652,0.6283021055718876
0.2,9,0.7047123975000137,0.5278028487971381,0.6035612331784393
0.2,10,0.7075650495067042,0.4916513505530211,0.5801710386495064
0.3,1,0.6987750388696846,0.7596532541271456,0.7279435468019027
0.3,2,0.773304224207961,0.7498276937214874,0.7613850332427974
0.3,3,0.7841378235920339,0.7433662082772654,0.7632078849272371
0.3,4,0.7942943542129464,0.7349190980997079,0.7634540351983771
0.3,5,0.7993372439866905,0.7233950900915684,0.7594724623448893
0.3,6,0.8040820725233224,0.7040270438806656,0.7507354983780757
0.3,7,0.8060836687400903,0.6778487971380748,0.7364254881030114
0.3,8,0.8090081639384819,0.643961895697266,0.7171110339534372
0.3,9,0.8100796017718521,0.6062104105812465,0.6934719354233152
0.3,10,0.8124127658077153,0.5683276444911222,0.6687957129408357
0.4,1,0.749081079228535,0.7173479602218649,0.7328711717639957
0.4,2,0.8296334017112084,0.7084823919393481,0.7642866152256317
0.4,3,0.8378015955060563,0.7048680626210246,0.7656073150516456
0.4,4,0.8461492661724866,0.6996373363090355,0.7659499930383699
0.4,5,0.8494199210531589,0.6956578817814828,0.7648879065361541
0.4,6,0.8544470129565275,0.6869276970035118,0.7615842079528786
0.4,7,0.856988189488697,0.6754488168302208,0.7554655183094003
0.4,8,0.8616863546423545,0.6556787226361219,0.7446980516227936
0.4,9,0.8631863791451669,0.6320809675407791,0.7297740874330657
0.4,10,0.8668901224277463,0.6016114739571368,0.7102900611024598
0.5,1,0.8173065621438755,0.6561300009846073,0.7279028752830338
0.5,2,0.86909798334064,0.6506326101939677,0.7441628033559189
0.5,3,0.8746802502629977,0.6481013489120089,0.7445341477323605
0.5,4,0.879880048204927,0.6439947159407923,0.7436806685664339
0.5,5,0.8824662595402597,0.6408480750927172,0.742495217045144
0.5,6,0.8871847835441948,0.6343455643440874,0.7397574855814198
0.5,7,0.8904555819256363,0.6280153598739703,0.7365564494399323
0.5,8,0.895175788458562,0.616926220092553,0.7304499463250903
0.5,9,0.8976975693172102,0.6030268469592044,0.7214325680013349
0.5,10,0.901363266758144,0.5821039417112475,0.7073794520001594
0.6,1,0.8683391453074101,0.5894433686697955,0.7022127732365626
0.6,2,0.893203214983224,0.5853941711247498,0.7072594075895158
0.6,3,0.8974542053948856,0.5826906035642785,0.7066040152930377
0.6,4,0.9018064392364996,0.5785757655321803,0.7049035705270944
0.6,5,0.9048043106507921,0.5752281006925072,0.7033209017924995
0.6,6,0.9087981357718415,0.5695871213364403,0.7002771592064017
0.6,7,0.9120606350217692,0.5637779382323017,0.6968237226943594
0.6,8,0.9161160294604995,0.5557123633857364,0.6917885350513647
0.6,9,0.919735560483286,0.5462109028848994,0.6853859993668132
0.6,10,0.9233092860442802,0.5329392169089895,0.6758018660569598
0.7,1,0.8982742763620036,0.508877875873839,0.6496979093282772
0.7,2,0.9101595980493572,0.5053538022252125,0.6498739092357528
0.7,3,0.9141169353935311,0.5021620335422888,0.6482265559836358
0.7,4,0.9182196106344795,0.4974769437789228,0.6453262659886699
0.7,5,0.9213800514257205,0.4924759591716171,0.64187232813866
0.7,6,0.9250997135430895,0.48623601037119696,0.6374341501980536
0.7,7,0.9285822207024882,0.47906068463027995,0.6320455744847837
0.7,8,0.932033380826379,0.4696453772686993,0.6245727364237255
0.7,9,0.9355896200774396,0.4589705930618005,0.6158330328710342
0.7,10,0.9393512354538066,0.4457440349207391,0.6045940937849524
0.8,1,0.9121901320255065,0.39144704453707047,0.5478121330948779
0.8,2,0.9245227663902362,0.3878450228100693,0.5464497930683683
0.8,3,0.9288749032142786,0.38388608093472054,0.543255246886702
0.8,4,0.9328344625341288,0.3784502281006925,0.5384512114685298
0.8,5,0.936137264618434,0.3720092553086744,0.5324353524203208
0.8,6,0.9397618491711417,0.36327907053070335,0.5239986034593968
0.8,7,0.9429419561193082,0.35316223046375006,0.5138653016758943
0.8,8,0.9464194125625449,0.3406577176802652,0.5009879664181919
0.8,9,0.9498698693918484,0.32640962945945057,0.4858601464364882
0.8,10,0.9537200504413619,0.3102743772358791,0.46822183425578545
0.9,1,0.9216483206322326,0.2009460435196429,0.3299528119179379
0.9,2,0.950518341307815,0.19560044635531196,0.32443724652276873
0.9,3,0.9552214246045622,0.19052151366963144,0.31768073906604327
0.9,4,0.958617446508347,0.18398618267747546,0.30872011977902836
0.9,5,0.9609182530795073,0.17601906856148872,0.2975360781131893
0.9,6,0.9644064950950999,0.16495864649315697,0.28172852913871327
0.9,7,0.9671324849715044,0.15246644130099446,0.26340726985353274
0.9,8,0.9701505450770029,0.13800502149725952,0.24163691609260635
0.9,9,0.9727338035527691,0.12221027930027241,0.2171399830888999
0.9,10,0.9749068511900236,0.10519708556237488,0.189902760188703
